size smiles jnk3 qed qed sa max_or_val 
43 CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4 0.78 0.28721839165619395 0.28721839165619395 0.5605309207763742 1
33 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCOCC4)cc3)nc1-2 0.6 0.6345907758057626 0.6345907758057626 0.7868670342356336 1
31 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCC4)cc3)nc1-2 0.56 0.6785082164964619 0.6785082164964619 0.7919887131570577 1
32 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCCC4)cc3)nc1-2 0.58 0.6582255451440384 0.6582255451440384 0.7924732280215654 1
32 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCCC4)cc3)nc1-2 0.58 0.6582255451440384 0.6582255451440384 0.7924732280215654 0
33 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCOCC4)cc3)nc1-2 0.6 0.6345907758057626 0.6345907758057626 0.7868670342356336 0
31 CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CCC4)cc3)nc1-2 0.56 0.6785082164964619 0.6785082164964619 0.7919887131570577 0
22 COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC 0.57 0.7983836473287707 0.7983836473287707 0.9018871483467706 1
23 COc1cc2ncnc(Nc3ccc(C#N)cc3)c2cc1OC 0.62 0.7965862320279274 0.7965862320279274 0.8845221542072585 1
23 COc1cc2ncnc(Nc3ccc(C#N)cc3)c2cc1OC 0.62 0.7965862320279274 0.7965862320279274 0.8845221542072585 0
22 COc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OC 0.57 0.7983836473287707 0.7983836473287707 0.9018871483467706 0
22 COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC 0.63 0.7574940736488872 0.7574940736488872 0.8959674902271126 1
27 CC#CC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1 0.67 0.6772160531624271 0.6772160531624271 0.8437319027861184 1
28 COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC 0.83 0.5021188289272573 0.5021188289272573 0.8947461910975194 1
27 COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cc1F 0.71 0.5217317741239434 0.5217317741239434 0.8883309139015851 1
28 COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC 0.83 0.5021188289272573 0.5021188289272573 0.8947461910975194 0
22 COc1cc2ncnc(Nc3ccc(Br)cc3)c2cc1OC 0.63 0.7574940736488872 0.7574940736488872 0.8959674902271126 0
27 CC#CC(=O)Nc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1 0.67 0.6772160531624271 0.6772160531624271 0.8437319027861184 0
27 COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cc1F 0.71 0.5217317741239434 0.5217317741239434 0.8883309139015851 0
27 COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cc1[O-] 0.66 0.5745107676388496 0.5745107676388496 0.8433926471050905 0
27 COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cc1O 0.66 0.5288037611325438 0.5288037611325438 0.883613873979482 0
27 COc1cc2c(Nc3ccc(Oc4ccccc4)cc3)ncnc2cc1N 0.69 0.5007660791560984 0.5007660791560984 0.8814795020223252 0
25 c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1 0.9 0.7888969157517117 0.7888969157517117 0.8970544096555868 1
23 N#Cc1ccc(Nc2nccc(-c3ccc(C#N)cc3)n2)cc1 0.87 0.7974363248997642 0.7974363248997642 0.880672924829671 1
25 c1cncc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1 0.88 0.7913650761487764 0.7913650761487764 0.8776712301684074 1
29 Fc1ccc(Oc2nc(Nc3ccc(N4CCOCC4)cc3)ncc2Cl)c(F)c1 0.78 0.6430841754292462 0.6430841754292462 0.8513973652522204 0
23 Fc1ccc(Nc2ncc(Cl)c(Nc3ccccc3F)n2)cc1 0.8 0.7134741531129651 0.7134741531129651 0.8911778651629694 0
28 NC(=O)c1ncccc1Nc1nc(Nc2ccc(N3CCC3)cc2)ncc1F 0.75 0.6040956254776974 0.6040956254776974 0.8474434565759434 0
26 Cn1cc(Nc2cc(Nc3ccc(N4CCOCC4)cc3)ccn2)cn1 0.85 0.7368453120365194 0.7368453120365194 0.8503317661279693 0
27 N#Cc1cccc(Oc2nc(Nc3ccc(N4CCC4)cc3)ncc2Cl)c1 0.72 0.6913118529480055 0.6913118529480055 0.8538741041744736 0
27 N#Cc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1 0.87 0.7690241727433705 0.7690241727433705 0.8739486110778267 0
25 c1cncc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1 0.88 0.7913650761487764 0.7913650761487764 0.8776712301684074 0
25 c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1 0.9 0.7888969157517117 0.7888969157517117 0.8970544096555868 0
23 N#Cc1ccc(Nc2nccc(-c3ccc(C#N)cc3)n2)cc1 0.87 0.7974363248997642 0.7974363248997642 0.880672924829671 0
24 CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21 0.72 0.5984951375617662 0.5984951375617662 0.8697025609836433 1
24 CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21 0.72 0.5984951375617662 0.5984951375617662 0.8697025609836433 0
22 COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1 0.74 0.5710047426974105 0.5710047426974105 0.8535667012724775 1
23 CNc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1 0.51 0.6290225120729661 0.6290225120729661 0.8526550076283473 1
22 COc1ccc(-c2cnc3c(-c4ccsc4)cnn3c2)cc1 0.74 0.5710047426974105 0.5710047426974105 0.8535667012724775 0
29 Fc1ccc(-c2cnc3c(-c4ccnc(NC5CCOCC5)c4)cnn3c2)cc1 0.66 0.5670472887505461 0.5670472887505461 0.8241556964559005 0
23 CNc1ccc(-c2cnc3c(-c4ccncc4)cnn3c2)cc1 0.51 0.6290225120729661 0.6290225120729661 0.8526550076283473 0
27 CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@H]3CCCC[C@H]3N)nc21 0.74 0.615773915242391 0.615773915242391 0.7496337533497524 1
27 CCn1cnc2c(Nc3cccc(Cl)c3)nc(NC3CCCCC3N)nc21 0.74 0.615773915242391 0.615773915242391 0.7496337533497524 0
27 CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3N)nc21 0.74 0.615773915242391 0.615773915242391 0.7496337533497524 0
27 CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@H]3CCCC[C@H]3N)nc21 0.74 0.615773915242391 0.615773915242391 0.7496337533497524 0
27 CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@H]3N)nc21 0.74 0.615773915242391 0.615773915242391 0.7496337533497524 0
24 CC(C)(C)Nc1nc(Nc2ccc(N3CCCC3)cc2)ncc1F 0.73 0.8815438051997208 0.8815438051997208 0.8594686276109632 1
21 Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1F 0.71 0.8966865279340483 0.8966865279340483 0.8718365712480439 1
23 Fc1cnc(Nc2ccc(N3CCCC3)cc2)nc1NC1CC1 0.71 0.8841490977114564 0.8841490977114564 0.8731992164484998 1
21 CNc1ccnc(Nc2ccc(N3CCOCC3)cc2)n1 0.67 0.8967628893904829 0.8967628893904829 0.8750281833376994 1
22 c1cc(N2CCCC2)nc(Nc2ccc(N3CCC3)cc2)n1 0.64 0.9390068488345139 0.9390068488345139 0.887218535592004 1
23 C1=NC(c2ccc(Nc3nccc(N4CCCC4)n3)cc2)=NC1 0.63 0.9428119954920414 0.9428119954920414 0.8111301404239405 1
26 Cc1cnc(Nc2ccc(N3CCS(=O)(=O)CC3)cc2)nc1NC1CC1 0.67 0.8316159507049539 0.8316159507049539 0.8307629511591544 0
24 CC(C)(C)Nc1nc(Nc2ccc(N3CCCC3)cc2)ncc1F 0.73 0.8815438051997208 0.8815438051997208 0.8594686276109632 0
24 COc1cnc(Nc2ccc(N3CCCC3)cc2)nc1NC1CC1 0.69 0.8485801600895092 0.8485801600895092 0.868409370985236 0
24 c1cc(N2CCNCC2)nc(Nc2ccc(N3CCCC3)cc2)n1 0.63 0.8994085100229056 0.8994085100229056 0.866801696992562 0
27 CN1CCCN(c2ccc(Nc3ncc(C#N)c(NC4CC4)n3)cc2)CC1 0.56 0.8453321448798338 0.8453321448798338 0.8460017175867025 0
21 Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1F 0.71 0.8966865279340483 0.8966865279340483 0.8718365712480439 0
23 Fc1cnc(Nc2ccc(N3CCCC3)cc2)nc1NC1CC1 0.71 0.8841490977114564 0.8841490977114564 0.8731992164484998 0
21 CN1CCN(c2ccc(Nc3nccc(Cl)n3)cc2)CC1 0.56 0.8831855168242039 0.8831855168242039 0.8805737717524575 0
25 CN1CCN(c2ccc(Nc3ncc(Br)c(NC4CC4)n3)cc2)CC1 0.63 0.7992454502306451 0.7992454502306451 0.8588695207666979 0
24 Fc1cnc(Nc2ccc(N3CCOCC3)cc2)nc1NC1CC1 0.7 0.8794474336345892 0.8794474336345892 0.8649524479083129 0
22 CNc1ccnc(Nc2ccc(N3CCN(C)CC3)cc2)n1 0.59 0.9004170291612933 0.9004170291612933 0.8754411280476254 0
22 CNc1ccnc(Nc2ccc(N3CCC(C)CC3)cc2)n1 0.6 0.9043630942148082 0.9043630942148082 0.8721079549707021 0
21 CNc1ccnc(Nc2ccc(N3CCOCC3)cc2)n1 0.67 0.8967628893904829 0.8967628893904829 0.8750281833376994 0
23 c1cc(N2CCCC2)nc(Nc2ccc(N3CCCC3)cc2)n1 0.64 0.9372694763515353 0.9372694763515353 0.8854364949389907 0
22 c1cc(N2CCC2)nc(Nc2ccc(N3CCCC3)cc2)n1 0.64 0.9390068488345139 0.9390068488345139 0.887218535592004 0
23 FC1(F)CN(c2ccc(Nc3nccc(N4CCC4)n3)cc2)C1 0.59 0.9392132301063839 0.9392132301063839 0.8434474545479436 0
22 c1cc(N2CCCC2)nc(Nc2ccc(N3CCC3)cc2)n1 0.64 0.9390068488345139 0.9390068488345139 0.887218535592004 0
23 C1=NC(c2ccc(Nc3nccc(N4CCCC4)n3)cc2)=NC1 0.63 0.9428119954920414 0.9428119954920414 0.8111301404239405 0
33 CN(c1nccnc1CNc1nc(Nc2ccc(N3CCCC3)cc2)ncc1F)S(C)(=O)=O 0.56 0.5103456117247256 0.5103456117247256 0.8075115514205764 1
33 CN(c1nccnc1CNc1nc(Nc2ccc(N3CCCC3)cc2)ncc1F)S(C)(=O)=O 0.56 0.5103456117247256 0.5103456117247256 0.8075115514205764 0
32 CN(c1nccnc1CNc1nc(Nc2ccc(F)cc2)ncc1C(F)(F)F)S(C)(=O)=O 0.51 0.5055426309926093 0.5055426309926093 0.8031598452504904 0
24 CNc1nc(Nc2ccc3c(c2)[C@H]2CC[C@@H]3N2C(C)=O)ncc1F 0.5 0.9061592041453621 0.9061592041453621 0.6525288297786689 1
26 CC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(F)c(NC4CC4)n3)cc12 0.52 0.8775536261396829 0.8775536261396829 0.6549075546965556 1
23 CNc1nc(Nc2ccc3c(c2)[C@H]2CC[C@@H]3N2C=O)ncc1F 0.52 0.8494438193049901 0.8494438193049901 0.6227736562515581 0
26 CC(=O)N1[C@@H]2CC[C@H]1c1ccc(Nc3ncc(F)c(NC4CC4)n3)cc12 0.52 0.8775536261396829 0.8775536261396829 0.6549075546965556 0
31 CC1(C)Oc2ccc(Nc3nc(NC4CC4)ncc3F)nc2N(Cn2ccnc2)C1=O 0.42 0.6215707069636986 0.6215707069636986 0.7599663134303474 1
36 CC1(C)Oc2ccc(Nc3nc(Nc4ccc(C#N)cc4)ncc3F)nc2N(CN2CCCC2)C1=O 0.49 0.5318129102960414 0.5318129102960414 0.7836355348459578 1
33 CN(C)CN1C(=O)C(C)(C)Oc2ccc(Nc3nc(Nc4ccccc4F)ncc3F)nc21 0.46 0.5816076234073259 0.5816076234073259 0.7841436370962328 1
34 CN(C)CN1C(=O)C(C)(C)Oc2ccc(Nc3nc(Nc4ccc(C#N)cc4)ncc3F)nc21 0.47 0.5679176053212478 0.5679176053212478 0.777202802596273 1
22 O=C1NC(=O)/C(=C\c2ccc3cc(OC(F)F)ccc3c2)S1 0.41 0.8745584731720975 0.8745584731720975 0.8449999137176005 1
21 C=Cc1ccccc1-c1ccc(C=C2SC(=O)NC2=O)o1 0.43 0.8724698297944932 0.8724698297944932 0.8205562643964256 1
30 C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1 0.65 0.5637570215180164 0.5637570215180164 0.7660589741712243 1
29 C#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC1CC1 0.58 0.6306584804721641 0.6306584804721641 0.7782253068228449 1
30 C#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1 0.6 0.601653998436716 0.601653998436716 0.7485548596810633 1
29 C#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CC1CC1 0.58 0.6306584804721641 0.6306584804721641 0.7782253068228449 0
30 C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1 0.65 0.5637570215180164 0.5637570215180164 0.7660589741712243 0
35 CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CCN1CCN(C)CC1 0.56 0.5429373118059843 0.5429373118059843 0.7724710357584507 0
30 C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1 0.65 0.5637570215180164 0.5637570215180164 0.7660589741712243 0
30 C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@@H]1CCOC1 0.65 0.5637570215180164 0.5637570215180164 0.7660589741712243 0
31 C#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CCCN(C)C 0.54 0.5917641904659638 0.5917641904659638 0.7759713833604174 0
29 C#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CCNC 0.55 0.5782057509416887 0.5782057509416887 0.7749146126389799 0
30 C#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCOC1 0.6 0.601653998436716 0.601653998436716 0.7485548596810633 0
33 C#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CCN1CCOCC1 0.55 0.5771364155612506 0.5771364155612506 0.7790836265347119 0
32 CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1C#CCCN(C)C 0.55 0.5637425678457821 0.5637425678457821 0.7699078405884855 0
21 Cc1nc2cnc(Nc3ccccc3F)nc2n1C1CC1 0.72 0.8005287138580669 0.8005287138580669 0.8535339567041179 1
22 CNc1nc2cnc(Nc3ccccc3F)nc2n1C1CC1 0.86 0.7744696942675657 0.7744696942675657 0.8357528382124604 1
24 CC(C)Nc1nc2cnc(Nc3ccccc3F)nc2n1C1CC1 0.9 0.7449205150488709 0.7449205150488709 0.83082134254309 1
24 CC(C)Nc1nc2cnc(Nc3ccccc3F)nc2n1C1CC1 0.9 0.7449205150488709 0.7449205150488709 0.83082134254309 0
24 CC(C)Nc1nc2cnc(Nc3ccc(F)cc3)nc2n1C(C)C 0.72 0.7375383584865608 0.7375383584865608 0.8308931531731972 0
21 Cc1nc2cnc(Nc3ccccc3F)nc2n1C1CC1 0.72 0.8005287138580669 0.8005287138580669 0.8535339567041179 0
22 CNc1nc2cnc(Nc3ccc(F)cc3)nc2n1C1CC1 0.75 0.7744696942675657 0.7744696942675657 0.8415674902271125 0
26 CC(C)n1c(N)nc2cnc(Nc3ccc(N4CCOCC4)cc3)nc21 0.71 0.7442186879521935 0.7442186879521935 0.8324534071536104 0
27 Fc1ccccc1Nc1ncc2nc(Nc3cccnc3)n(C3CC3)c2n1 0.81 0.5549332267959551 0.5549332267959551 0.8336403588869794 0
25 CC(C)Nc1nc2cnc(Nc3ccc(C#N)cc3)nc2n1C1CC1 0.74 0.7410942989946488 0.7410942989946488 0.8222781640795664 0
22 CNc1nc2cnc(Nc3ccccc3F)nc2n1C1CC1 0.86 0.7744696942675657 0.7744696942675657 0.8357528382124604 0
24 CC(C)Nc1nc2cnc(Nc3ccc(F)cc3)nc2n1C1CC1 0.77 0.7449205150488709 0.7449205150488709 0.8362084466154881 0
28 CC(C)Nc1nc2cnc(Nc3ccc(N4CCCC4)cc3)nc2n1C1CC1 0.74 0.6663821041550716 0.6663821041550716 0.8296342994059527 0
25 CC(C)(C)Nc1nc2cnc(Nc3ccccc3F)nc2n1C1CC1 0.84 0.7428473668056718 0.7428473668056718 0.8204101312673083 0
27 Cn1cc(-c2ccnc(Nc3ccc(N4CCC4)cc3)n2)c2ccncc21 0.61 0.5991943098513394 0.5991943098513394 0.8439780414575735 1
27 Cn1cc(-c2ccnc(Nc3ccc(N4CCC4)cc3)n2)c2ccncc21 0.61 0.5991943098513394 0.5991943098513394 0.8439780414575735 0
29 C[C@H](O)c1cccc(-n2c3nc(Nc4ccc(C#N)cc4)ncc3c(=O)n2C)n1 0.46 0.5502462685005842 0.5502462685005842 0.7441610298163785 1
32 C[C@@H](O)c1cccc(-n2c3nc(Nc4ccc(N5CCCC5)cc4)ncc3c(=O)n2C)n1 0.5 0.500992593413446 0.500992593413446 0.7511197030169926 1
34 C[C@H](O)c1cccc(-n2c3nc(Nc4ccc(N5CCN(C)CC5)cc4)ncc3c(=O)n2C)n1 0.5 0.46649547557401294 0.46649547557401294 0.7451222548264399 1
30 Cc1ccc(C(=O)Nc2ccc(F)cc2)cc1Nc1nccc(-c2cnn(C)c2)n1 0.62 0.5193283559490517 0.5193283559490517 0.8650551810175615 1
31 Cc1ccc(NC(=O)c2ccc(C)c(Nc3nccc(-c4cnn(C)c4)n3)c2)cc1F 0.66 0.4955569570231814 0.4955569570231814 0.8542388658778999 1
30 Cc1ccc(C(=O)Nc2ccc(F)cc2)cc1Nc1nccc(-c2cnccn2)n1 0.55 0.5165585235952626 0.5165585235952626 0.864872116020543 0
30 Cc1ccc(C(=O)Nc2ccc(F)cc2)cc1Nc1nccc(-c2cnn(C)c2)n1 0.62 0.5193283559490517 0.5193283559490517 0.8650551810175615 0
31 c1cn2cc(-c3ccc4c[nH]nc4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1 0.45 0.46738531794023797 0.46738531794023797 0.8009134842702602 1
27 COc1ccc2ncnc(Nc3ccc(Oc4ccccc4F)cc3)c2c1 0.6 0.5217317741239434 0.5217317741239434 0.8934051105909718 1
27 N#Cc1ccc(Oc2ccc(Nc3ncnc4ccc(F)cc34)cc2)cn1 0.55 0.5758184606903142 0.5758184606903142 0.8556164056250515 1
27 COc1ccc2ncnc(Nc3ccc(Oc4ccccc4F)cc3)c2c1 0.6 0.5217317741239434 0.5217317741239434 0.8934051105909718 0
27 COc1ccc(Oc2ccc(Nc3ncnc4ccc(F)cc34)cc2)cn1 0.54 0.5545113517142932 0.5545113517142932 0.8718627542131723 0
27 N#Cc1ccc(Oc2ccc(Nc3ncnc4ccc(F)cc34)cc2)cn1 0.55 0.5758184606903142 0.5758184606903142 0.8556164056250515 0
18 Nc1ncnc2n[nH]c(Nc3ccc(F)cc3)c12 0.48 0.6390123456612439 0.6390123456612439 0.8298567672632257 1
23 Cn1cc(Nc2ncc(F)c(Nc3ccc(C#N)cc3)n2)cn1 0.67 0.7696661547577899 0.7696661547577899 0.8432151612002657 1
24 Fc1cnc(NC2CCCC2)nc1Nc1ccc(N2CCC2)cc1 0.65 0.8714696345744236 0.8714696345744236 0.8695434369193019 1
22 Fc1ccccc1Nc1nc(NC2CCOCC2)ncc1F 0.63 0.9087868877852933 0.9087868877852933 0.8562966568937791 1
20 Fc1ccccc1Nc1nc(NC2CCC2)ncc1F 0.63 0.8974908447973601 0.8974908447973601 0.8744427343852068 1
24 Fc1cnc(NC2CC2)nc1Nc1ccc(N2CCOCC2)cc1 0.64 0.8794474336345891 0.8794474336345891 0.8635917885676536 1
24 N#Cc1ccc(Nc2nc(Nc3cccc(F)c3)ncc2F)cc1 0.66 0.7555232041233946 0.7555232041233946 0.8727471540717148 0
26 Cc1ccc(Nc2nc(Nc3cccc(N(C)C)c3)ncc2F)cc1F 0.61 0.6995722313599193 0.6995722313599193 0.8602164868866627 0
25 COc1ccccc1Nc1nc(Nc2ccc(F)c(F)c2)ncc1F 0.61 0.717492787710283 0.717492787710283 0.8783618043829252 0
21 Fc1cnc(NC2CCOCC2)nc1Nc1ccccc1 0.56 0.9055188389212019 0.9055188389212019 0.8680919550498581 0
22 Fc1cnc(Nc2ccccc2Cl)nc1NC1CCNCC1 0.56 0.8070877496899073 0.8070877496899073 0.8516932915091638 0
23 Fc1ccc(Nc2ncc(F)c(Nc3cc(F)ccn3)n2)cc1 0.67 0.7666352504561149 0.7666352504561149 0.8546401029252072 0
22 Fc1ccccc1Nc1nc(NC2CCOCC2)ncc1F 0.63 0.9087868877852933 0.9087868877852933 0.8562966568937791 0
23 Cn1cc(Nc2ncc(F)c(Nc3ccc(C#N)cc3)n2)cn1 0.67 0.7696661547577899 0.7696661547577899 0.8432151612002657 0
24 Fc1cnc(NC2CCCC2)nc1Nc1ccc(N2CCC2)cc1 0.65 0.8714696345744236 0.8714696345744236 0.8695434369193019 0
20 Fc1ccccc1Nc1nc(NC2CCC2)ncc1F 0.63 0.8974908447973601 0.8974908447973601 0.8744427343852068 0
23 Fc1cnc(NC2CCC2)nc1Nc1ccc(N2CCC2)cc1 0.63 0.8841490977114563 0.8841490977114563 0.8705088674939717 0
24 Fc1cnc(NC2CC2)nc1Nc1ccc(N2CCOCC2)cc1 0.64 0.8794474336345891 0.8794474336345891 0.8635917885676536 0
25 CN(C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1 0.72 0.7444613585302594 0.7444613585302594 0.838096504893682 1
25 CN(C)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1 0.72 0.7444613585302594 0.7444613585302594 0.838096504893682 0
28 COCC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1F 0.57 0.6473386807996223 0.6473386807996223 0.80637085920496 0
26 CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1F 0.62 0.6738081786676956 0.6738081786676956 0.8170192266126901 0
29 COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)N1CC(F)C1 0.55 0.6564944284312443 0.6564944284312443 0.8336400799449348 0
26 CNc1nccc(-c2ccc3c(Nc4ccc(F)cc4)ncnc3c2)n1 0.59 0.5813958734598206 0.5813958734598206 0.8619854098526657 1
26 COc1ncc(-c2ccc3c(Nc4ccc(F)cc4)ncnc3c2)cn1 0.58 0.6019425451702878 0.6019425451702878 0.8605726568162283 1
27 CN(C)c1ncc(-c2ccc3c(Nc4ccc(N)cc4)ncnc3c2)cn1 0.51 0.5401333929866956 0.5401333929866956 0.8448127629515939 0
25 Nc1ccc(Nc2ncnc3cc(-c4cnccc4F)ccc23)cc1 0.56 0.5513598410013589 0.5513598410013589 0.8583477317490184 0
26 FC(F)Oc1ccc(Nc2ncnc3cc(-c4cnoc4)ccc23)cc1 0.52 0.563255465317412 0.563255465317412 0.8295850049943662 0
26 COc1ccc(Nc2ncnc3cc(-c4ccncc4F)ccc23)cc1 0.53 0.5858481604562861 0.5858481604562861 0.8737483653182527 0
26 CNc1nccc(-c2ccc3c(Nc4ccc(F)cc4)ncnc3c2)n1 0.59 0.5813958734598206 0.5813958734598206 0.8619854098526657 0
26 COc1ncc(-c2ccc3c(Nc4ccc(F)cc4)ncnc3c2)cn1 0.58 0.6019425451702878 0.6019425451702878 0.8605726568162283 0
28 COc1ccc(Nc2ncnc3cc(-c4cnc(OC)c(F)c4)ccc23)cc1 0.57 0.5493190180853584 0.5493190180853584 0.8622278416661617 0
24 c1cc(-c2ccoc2)nc(Nc2ccc(N3CCOCC3)cc2)n1 0.8 0.7948442672893568 0.7948442672893568 0.8563354576763227 1
